epoch,train acc,test acc
1,0.2192,0.5669
2,0.3116,0.6203
3,0.3258,0.6428
4,0.332,0.6544
5,0.3355,0.6607
6,0.3376,0.6653
7,0.3393,0.6671
8,0.341,0.671
9,0.3426,0.6741
10,0.3449,0.6722
11,0.3473,0.6728
12,0.351,0.6652
13,0.3557,0.6567
14,0.361,0.6448
15,0.3675,0.6354
16,0.3748,0.6206
17,0.3831,0.607
18,0.3903,0.6081
19,0.399,0.5935
20,0.4072,0.588
21,0.4137,0.5817
22,0.4184,0.589
23,0.425,0.588
24,0.4335,0.5848
25,0.44,0.5854
26,0.4452,0.5902
27,0.4507,0.596
28,0.4569,0.6004
29,0.4618,0.6014
30,0.4666,0.6013
31,0.4709,0.6053
32,0.4747,0.6077
33,0.479,0.6088
34,0.4831,0.6128
35,0.486,0.6186
36,0.4886,0.6141
37,0.4914,0.6238
38,0.4943,0.6297
39,0.4979,0.6364
40,0.5025,0.6492
41,0.5063,0.6572
42,0.5092,0.6611
43,0.512,0.6674
44,0.5139,0.6767
45,0.5162,0.6838
46,0.5191,0.694
47,0.5222,0.7059
48,0.5248,0.7102
49,0.526,0.7108
50,0.5275,0.7135
51,0.5291,0.7133
52,0.53,0.7119
53,0.5313,0.7149
54,0.5321,0.7175
55,0.5334,0.7201
56,0.5345,0.7225
57,0.5352,0.7247
58,0.536,0.7259
59,0.5365,0.7237
60,0.5372,0.7236
61,0.5377,0.7253
62,0.5381,0.7268
63,0.5387,0.7224
64,0.5394,0.7225
65,0.5401,0.725
66,0.5404,0.723
67,0.5409,0.7283
68,0.5413,0.7272
69,0.5419,0.727
70,0.5423,0.7262
71,0.5428,0.7279
72,0.5429,0.7315
73,0.5433,0.7286
74,0.5437,0.7291
75,0.544,0.7288
76,0.5444,0.7275
77,0.5447,0.7306
78,0.5448,0.7298
79,0.545,0.7267
80,0.5456,0.7321
81,0.5458,0.7303
82,0.5462,0.7298
83,0.5464,0.7325
84,0.5466,0.7313
85,0.5469,0.7281
86,0.5473,0.7318
87,0.5474,0.7288
88,0.5479,0.7304
89,0.5482,0.7294
90,0.5483,0.7308
91,0.5486,0.7301
92,0.5489,0.7282
93,0.549,0.73
94,0.5492,0.7292
95,0.5496,0.7297
96,0.5499,0.7284
97,0.55,0.7307
98,0.5504,0.7283
99,0.5505,0.7304
100,0.551,0.7302
