epoch,train loss,test loss
1,3.6736,1.6223
2,2.8397,1.4374
3,2.7494,1.3676
4,2.7098,1.3335
5,2.6898,1.3107
6,2.676,1.2981
7,2.6671,1.2925
8,2.6576,1.2778
9,2.6471,1.2676
10,2.6341,1.2673
11,2.6198,1.2583
12,2.5996,1.2676
13,2.5731,1.2802
14,2.5447,1.294
15,2.5087,1.3096
16,2.4692,1.3332
17,2.4251,1.3587
18,2.3871,1.3379
19,2.342,1.3654
20,2.2983,1.3724
21,2.264,1.3845
22,2.2395,1.3481
23,2.2069,1.345
24,2.1641,1.3436
25,2.131,1.3347
26,2.1065,1.3149
27,2.0799,1.2951
28,2.0488,1.2752
29,2.0244,1.2692
30,2.0017,1.2692
31,1.9812,1.2532
32,1.9625,1.2465
33,1.942,1.2434
34,1.9224,1.2302
35,1.9089,1.2088
36,1.8967,1.2248
37,1.8842,1.1889
38,1.871,1.167
39,1.8541,1.1449
40,1.8336,1.1058
41,1.8158,1.0799
42,1.8019,1.0688
43,1.7893,1.0481
44,1.7811,1.0161
45,1.7701,0.997
46,1.7562,0.9644
47,1.7419,0.9304
48,1.7309,0.919
49,1.724,0.9169
50,1.7174,0.9083
51,1.7109,0.9055
52,1.7064,0.9133
53,1.7012,0.8967
54,1.6966,0.8906
55,1.6911,0.8825
56,1.6867,0.8775
57,1.6837,0.8679
58,1.6809,0.8667
59,1.6777,0.8695
60,1.6753,0.8676
61,1.6731,0.8627
62,1.6712,0.8589
63,1.6683,0.872
64,1.6652,0.8717
65,1.6633,0.8653
66,1.661,0.8736
67,1.6589,0.8554
68,1.6566,0.8578
69,1.6553,0.8558
70,1.6531,0.8571
71,1.6515,0.8564
72,1.6497,0.8456
73,1.6485,0.8535
74,1.6467,0.8503
75,1.6461,0.8529
76,1.644,0.8549
77,1.6425,0.8476
78,1.6424,0.85
79,1.6411,0.8615
80,1.6394,0.8434
81,1.6376,0.8488
82,1.6364,0.8497
83,1.6352,0.8438
84,1.6343,0.8467
85,1.633,0.8557
86,1.6317,0.8456
87,1.6311,0.8527
88,1.6294,0.8468
89,1.628,0.8479
90,1.6271,0.8461
91,1.6262,0.8509
92,1.6251,0.8548
93,1.6241,0.8489
94,1.6234,0.8517
95,1.6218,0.8494
96,1.6198,0.8525
97,1.6198,0.844
98,1.6185,0.8545
99,1.617,0.846
100,1.6155,0.8433
